creator_id,mod_count,total_subscriptions,avg_subscriptions,median_subscriptions,avg_positive_rate,avg_maintenance_days,tag_breadth
76561198391117610,27,232570,8613.70,3654.00,0.889752,136.63,2
76561198233754348,37,231441,6255.16,1078.00,0.945714,299.22,9
76561197967838462,19,231245,12170.79,925.00,0.951463,343.37,12
76561198283143738,1,231171,231171.00,231171.00,0.935000,683.00,11
76561199177319203,11,230625,20965.91,7596.00,0.970573,100.64,12
76561198202963895,6,229992,38332.00,37836.00,0.964300,598.50,3
76561198323462168,7,228381,32625.86,29968.00,0.960429,1330.14,5
76561198312727020,1,227385,227385.00,227385.00,0.964500,2954.00,3
76561198098847491,7,226096,32299.43,7292.00,0.892914,142.00,3
76561198282077167,5,226004,45200.80,23271.00,0.969860,907.60,6
76561198203907187,42,224755,5351.31,242.50,0.901883,252.33,14
76561198855979160,7,223050,31864.29,6338.00,0.758286,0.00,2
76561199042155506,6,222647,37107.83,12488.50,0.974350,133.67,9
76561198112558369,1,222128,222128.00,222128.00,0.975300,320.00,5
76561198280705318,3,219651,73217.00,67387.00,0.953233,1.33,2
76561197969822695,1,216560,216560.00,216560.00,0.900000,0.00,4
76561198025554288,29,216280,7457.93,3724.00,0.947059,334.76,9
76561198326749481,3,216152,72050.67,4573.00,0.978767,612.33,3
76561198326550565,32,214536,6704.25,1851.00,0.910469,219.50,11
76561198033888899,4,214286,53571.50,54453.00,0.962925,148.25,2
76561198135323091,32,213458,6670.56,877.50,0.862184,215.69,5
76561198075596893,1,211544,211544.00,211544.00,0.955800,229.00,2
76561198048911576,7,210805,30115.00,13997.00,0.954243,0.86,4
76561198837718759,11,209168,19015.27,1260.00,0.756018,446.73,6
76561198117731813,3,209043,69681.00,46738.00,0.934733,737.00,9
76561198118680942,2,208695,104347.50,104347.50,0.978500,3162.00,5
76561198202183228,8,206180,25772.50,807.50,0.882938,123.00,18
76561198305429748,12,205787,17148.92,6108.50,0.936167,102.92,9
76561197990373388,2,203762,101881.00,101881.00,0.884350,1493.50,4
76561198082172665,6,203290,33881.67,22096.00,0.958833,471.33,2
76561198256352537,9,202527,22503.00,2216.00,0.973811,693.00,10
76561198795723653,8,201743,25217.88,8648.00,0.981150,206.88,8
76561198157605960,2,201250,100625.00,100625.00,0.973300,126.50,4
76561198159698411,11,198960,18087.27,1536.00,0.933045,269.36,10
76561198950833784,2,198420,99210.00,99210.00,0.954500,260.50,8
76561198016497607,1,196992,196992.00,196992.00,0.974500,281.00,8
76561198965012715,1,196308,196308.00,196308.00,0.885100,0.00,2
76561198256551086,2,194472,97236.00,97236.00,0.967250,0.00,8
76561198016762743,18,193885,10771.39,1707.50,0.877000,47.11,2
76561199058779040,2,190455,95227.50,95227.50,0.489050,0.00,5
76561198161904189,4,189948,47487.00,899.50,0.982100,256.25,8
76561198045247729,16,189944,11871.50,198.00,0.554407,288.19,11
76561198325674108,5,189527,37905.40,32868.00,0.975920,1397.60,9
76561198367117485,7,189151,27021.57,16107.00,0.961629,128.00,14
76561198096527874,4,189125,47281.25,20810.00,0.968450,169.25,8
76561198312960963,3,187104,62368.00,52982.00,0.991400,7.33,3
76561198103824527,6,186342,31057.00,4204.00,0.987067,213.17,2
76561198045583749,5,184347,36869.40,6442.00,0.942160,193.00,6
76561198081341219,1,184093,184093.00,184093.00,0.963000,77.00,3
76561198250717802,5,182523,36504.60,2924.00,0.968760,116.00,1
76561198118689194,7,177228,25318.29,21817.00,0.947800,82.29,12
76561199071772317,20,177192,8859.60,619.00,0.981265,174.00,8
76561197988620852,12,176641,14720.08,6049.50,0.925975,345.00,10
76561198356877000,3,172763,57587.67,48199.00,0.978400,0.00,4
76561198972334339,1,171537,171537.00,171537.00,0.979100,410.00,5
76561198103032116,1,171416,171416.00,171416.00,0.964400,625.00,3
76561198316473871,1,169761,169761.00,169761.00,0.974000,954.00,1
76561198093961246,9,169610,18845.56,3817.00,0.902844,546.22,9
76561198087989423,2,168705,84352.50,84352.50,0.960350,7.00,3
76561198813016643,10,167990,16799.00,484.50,0.762744,141.40,11
