token,top_100_comment_count,rank_300_500_comment_count,top_100_comments_per_1000,rank_300_500_comments_per_1000,comments_per_1000_diff,rate_ratio,dominant_group
pot,16,11,4.73,2.23,2.5,2.1206,top_100
bob,55,68,16.25,13.78,2.47,1.1792,top_100
less,4,18,1.18,3.65,-2.47,0.324,rank_300_500
skins,4,18,1.18,3.65,-2.47,0.324,rank_300_500
stats,4,18,1.18,3.65,-2.47,0.324,rank_300_500
fire,20,17,5.91,3.44,2.46,1.7152,top_100
mod's,20,17,5.91,3.44,2.46,1.7152,top_100
against,9,1,2.66,0.2,2.46,13.1211,top_100
fps,9,1,2.66,0.2,2.46,13.1211,top_100
hide,9,1,2.66,0.2,2.46,13.1211,top_100
whenever,22,20,6.5,4.05,2.45,1.6037,top_100
este,11,4,3.25,0.81,2.44,4.0092,top_100
la,11,4,3.25,0.81,2.44,4.0092,top_100
showing,11,4,3.25,0.81,2.44,4.0092,top_100
amulet,0,12,0.0,2.43,-2.43,0.0,rank_300_500
further,0,12,0.0,2.43,-2.43,0.0,rank_300_500
higher,0,12,0.0,2.43,-2.43,0.0,rank_300_500
lunatic,0,12,0.0,2.43,-2.43,0.0,rank_300_500
onto,0,12,0.0,2.43,-2.43,0.0,rank_300_500
rin,0,12,0.0,2.43,-2.43,0.0,rank_300_500
system,11,28,3.25,5.67,-2.42,0.5727,rank_300_500
conflict,9,25,2.66,5.07,-2.41,0.5248,rank_300_500
happened,17,13,5.02,2.63,2.39,1.9065,top_100
icons,17,13,5.02,2.63,2.39,1.9065,top_100
ask,7,22,2.07,4.46,-2.39,0.4639,rank_300_500
part,7,22,2.07,4.46,-2.39,0.4639,rank_300_500
there's,16,35,4.73,7.09,-2.37,0.6665,rank_300_500
animation,3,16,0.89,3.24,-2.36,0.2734,rank_300_500
balanced,3,16,0.89,3.24,-2.36,0.2734,rank_300_500
command,3,16,0.89,3.24,-2.36,0.2734,rank_300_500
lantern,3,16,0.89,3.24,-2.36,0.2734,rank_300_500
wondering,3,16,0.89,3.24,-2.36,0.2734,rank_300_500
actualizado,8,0,2.36,0.0,2.36,,top_100
megamind,8,0,2.36,0.0,2.36,,top_100
pero,8,0,2.36,0.0,2.36,,top_100
rebellion,8,0,2.36,0.0,2.36,,top_100
war,8,0,2.36,0.0,2.36,,top_100
lo,10,3,2.95,0.61,2.35,4.8597,top_100
balance,1,13,0.3,2.63,-2.34,0.1121,rank_300_500
death,1,13,0.3,2.63,-2.34,0.1121,rank_300_500
freezing,1,13,0.3,2.63,-2.34,0.1121,rank_300_500
gain,1,13,0.3,2.63,-2.34,0.1121,rank_300_500
heal,1,13,0.3,2.63,-2.34,0.1121,rank_300_500
interesting,1,13,0.3,2.63,-2.34,0.1121,rank_300_500
manually,1,13,0.3,2.63,-2.34,0.1121,rank_300_500
few,12,29,3.55,5.88,-2.33,0.6033,rank_300_500
gets,12,29,3.55,5.88,-2.33,0.6033,rank_300_500
stopped,12,6,3.55,1.22,2.33,2.9158,top_100
crashed,25,25,7.39,5.07,2.32,1.4579,top_100
find,45,77,13.29,15.6,-2.31,0.852,rank_300_500
ensure,14,9,4.14,1.82,2.31,2.2678,top_100
para,16,12,4.73,2.43,2.3,1.9439,top_100
creator,18,15,5.32,3.04,2.28,1.7495,top_100
experience,18,15,5.32,3.04,2.28,1.7495,top_100
global,20,18,5.91,3.65,2.26,1.6199,top_100
monsters,4,17,1.18,3.44,-2.26,0.343,rank_300_500
translate,4,17,1.18,3.44,-2.26,0.343,rank_300_500
let,26,49,7.68,9.93,-2.25,0.7736,rank_300_500
destroy,2,14,0.59,2.84,-2.25,0.2083,rank_300_500
drops,2,14,0.59,2.84,-2.25,0.2083,rank_300_500
compiled,9,2,2.66,0.41,2.25,6.5606,top_100
tutorials,9,2,2.66,0.41,2.25,6.5606,top_100
understand,13,30,3.84,6.08,-2.24,0.6318,rank_300_500
collection,11,5,3.25,1.01,2.24,3.2074,top_100
outdated,11,5,3.25,1.01,2.24,3.2074,top_100
carrots,0,11,0.0,2.23,-2.23,0.0,rank_300_500
charlie,0,11,0.0,2.23,-2.23,0.0,rank_300_500
darkness,0,11,0.0,2.23,-2.23,0.0,rank_300_500
ears,0,11,0.0,2.23,-2.23,0.0,rank_300_500
healing,0,11,0.0,2.23,-2.23,0.0,rank_300_500
mitsuru,0,11,0.0,2.23,-2.23,0.0,rank_300_500
movement,0,11,0.0,2.23,-2.23,0.0,rank_300_500
pig,0,11,0.0,2.23,-2.23,0.0,rank_300_500
silk,0,11,0.0,2.23,-2.23,0.0,rank_300_500
spoils,0,11,0.0,2.23,-2.23,0.0,rank_300_500
structure,0,11,0.0,2.23,-2.23,0.0,rank_300_500
attempt,37,43,10.93,8.71,2.22,1.2545,top_100
least,11,27,3.25,5.47,-2.22,0.594,rank_300_500
because,57,94,16.84,19.05,-2.21,0.884,rank_300_500
hello,22,43,6.5,8.71,-2.21,0.7459,rank_300_500
until,22,43,6.5,8.71,-2.21,0.7459,rank_300_500
everyone,5,18,1.48,3.65,-2.17,0.405,rank_300_500
mind,5,18,1.48,3.65,-2.17,0.405,rank_300_500
point,5,18,1.48,3.65,-2.17,0.405,rank_300_500
defend,8,1,2.36,0.2,2.16,11.6632,top_100
different,14,31,4.14,6.28,-2.15,0.6584,rank_300_500
ontick,3,15,0.89,3.04,-2.15,0.2916,rank_300_500
rabbit,3,15,0.89,3.04,-2.15,0.2916,rank_300_500
value,34,39,10.04,7.9,2.14,1.271,top_100
mode,25,47,7.39,9.52,-2.14,0.7755,rank_300_500
behind,10,4,2.95,0.81,2.14,3.6448,top_100
mini,10,4,2.95,0.81,2.14,3.6448,top_100
position,10,4,2.95,0.81,2.14,3.6448,top_100
ancient,1,12,0.3,2.43,-2.14,0.1215,rank_300_500
freeze,1,12,0.3,2.43,-2.14,0.1215,rank_300_500
