token,top_100_comment_count,rank_300_500_comment_count,top_100_comments_per_1000,rank_300_500_comments_per_1000,comments_per_1000_diff,rate_ratio,dominant_group
fully,0,10,0.0,5.51,-5.51,0.0,rank_300_500
hast,0,10,0.0,5.51,-5.51,0.0,rank_300_500
kill,0,10,0.0,5.51,-5.51,0.0,rank_300_500
papyrus,0,10,0.0,5.51,-5.51,0.0,rank_300_500
singleplayer,0,10,0.0,5.51,-5.51,0.0,rank_300_500
file,9,6,8.7,3.31,5.39,2.629,top_100
local,9,6,8.7,3.31,5.39,2.629,top_100
broken,3,15,2.9,8.27,-5.37,0.3505,rank_300_500
us,3,15,2.9,8.27,-5.37,0.3505,rank_300_500
off,11,29,10.63,15.99,-5.36,0.6648,rank_300_500
button,6,20,5.8,11.03,-5.23,0.5258,rank_300_500
pot,2,13,1.93,7.17,-5.23,0.2696,rank_300_500
since,14,34,13.53,18.74,-5.22,0.7217,rank_300_500
much,18,41,17.39,22.6,-5.21,0.7695,rank_300_500
function,11,10,10.63,5.51,5.12,1.9279,top_100
hide,7,3,6.76,1.65,5.11,4.0895,top_100
plz,1,11,0.97,6.06,-5.1,0.1593,rank_300_500
waiting,1,11,0.97,6.06,-5.1,0.1593,rank_300_500
let,5,18,4.83,9.92,-5.09,0.4868,rank_300_500
sometimes,5,18,4.83,9.92,-5.09,0.4868,rank_300_500
hope,13,32,12.56,17.64,-5.08,0.712,rank_300_500
https,13,32,12.56,17.64,-5.08,0.712,rank_300_500
crashes,21,46,20.29,25.36,-5.07,0.8001,rank_300_500
thank,29,60,28.02,33.08,-5.06,0.8471,rank_300_500
food,12,12,11.59,6.62,4.98,1.7527,top_100
least,12,12,11.59,6.62,4.98,1.7527,top_100
core,4,16,3.86,8.82,-4.96,0.4382,rank_300_500
shift,4,16,3.86,8.82,-4.96,0.4382,rank_300_500
additional,0,9,0.0,4.96,-4.96,0.0,rank_300_500
death,0,9,0.0,4.96,-4.96,0.0,rank_300_500
die,0,9,0.0,4.96,-4.96,0.0,rank_300_500
mas,0,9,0.0,4.96,-4.96,0.0,rank_300_500
rail,0,9,0.0,4.96,-4.96,0.0,rank_300_500
state,0,9,0.0,4.96,-4.96,0.0,rank_300_500
taking,0,9,0.0,4.96,-4.96,0.0,rank_300_500
wilderness,0,9,0.0,4.96,-4.96,0.0,rank_300_500
able,12,30,11.59,16.54,-4.94,0.7011,rank_300_500
seems,12,30,11.59,16.54,-4.94,0.7011,rank_300_500
modmain,13,14,12.56,7.72,4.84,1.6275,top_100
cannot,9,7,8.7,3.86,4.84,2.2534,top_100
content,9,7,8.7,3.86,4.84,2.2534,top_100
annoying,3,14,2.9,7.72,-4.82,0.3756,rank_300_500
around,10,9,9.66,4.96,4.7,1.9474,top_100
log,10,9,9.66,4.96,4.7,1.9474,top_100
move,10,9,9.66,4.96,4.7,1.9474,top_100
container,6,2,5.8,1.1,4.69,5.258,top_100
order,6,2,5.8,1.1,4.69,5.258,top_100
prefabs,6,2,5.8,1.1,4.69,5.258,top_100
near,2,12,1.93,6.62,-4.68,0.2921,rank_300_500
spawn,2,12,1.93,6.62,-4.68,0.2921,rank_300_500
suggestion,2,12,1.93,6.62,-4.68,0.2921,rank_300_500
mode,10,26,9.66,14.33,-4.67,0.6741,rank_300_500
causes,7,4,6.76,2.21,4.56,3.0671,top_100
whenever,7,4,6.76,2.21,4.56,3.0671,top_100
changes,1,10,0.97,5.51,-4.55,0.1753,rank_300_500
holding,1,10,0.97,5.51,-4.55,0.1753,rank_300_500
job,1,10,0.97,5.51,-4.55,0.1753,rank_300_500
looks,1,10,0.97,5.51,-4.55,0.1753,rank_300_500
base,5,17,4.83,9.37,-4.54,0.5155,rank_300_500
recipe,5,17,4.83,9.37,-4.54,0.5155,rank_300_500
world,13,31,12.56,17.09,-4.53,0.735,rank_300_500
says,8,6,7.73,3.31,4.42,2.3369,top_100
babies,0,8,0.0,4.41,-4.41,0.0,rank_300_500
boa,0,8,0.0,4.41,-4.41,0.0,rank_300_500
ci,0,8,0.0,4.41,-4.41,0.0,rank_300_500
cook,0,8,0.0,4.41,-4.41,0.0,rank_300_500
eat,0,8,0.0,4.41,-4.41,0.0,rank_300_500
em,0,8,0.0,4.41,-4.41,0.0,rank_300_500
form,0,8,0.0,4.41,-4.41,0.0,rank_300_500
hold,0,8,0.0,4.41,-4.41,0.0,rank_300_500
instantly,0,8,0.0,4.41,-4.41,0.0,rank_300_500
ishmael,0,8,0.0,4.41,-4.41,0.0,rank_300_500
john,0,8,0.0,4.41,-4.41,0.0,rank_300_500
johnson,0,8,0.0,4.41,-4.41,0.0,rank_300_500
koalefanta,0,8,0.0,4.41,-4.41,0.0,rank_300_500
proboscidea,0,8,0.0,4.41,-4.41,0.0,rank_300_500
rog,0,8,0.0,4.41,-4.41,0.0,rank_300_500
summer,0,8,0.0,4.41,-4.41,0.0,rank_300_500
tent,0,8,0.0,4.41,-4.41,0.0,rank_300_500
winter,0,8,0.0,4.41,-4.41,0.0,rank_300_500
bad,4,15,3.86,8.27,-4.4,0.4674,rank_300_500
copy,4,15,3.86,8.27,-4.4,0.4674,rank_300_500
needs,4,15,3.86,8.27,-4.4,0.4674,rank_300_500
awesome,3,13,2.9,7.17,-4.27,0.4045,rank_300_500
few,3,13,2.9,7.17,-4.27,0.4045,rank_300_500
op,3,13,2.9,7.17,-4.27,0.4045,rank_300_500
making,11,27,10.63,14.88,-4.26,0.714,rank_300_500
set,7,20,6.76,11.03,-4.26,0.6134,rank_300_500
wilson,10,10,9.66,5.51,4.15,1.7527,top_100
caused,6,3,5.8,1.65,4.14,3.5053,top_100
controls,2,11,1.93,6.06,-4.13,0.3187,rank_300_500
dark,2,11,1.93,6.06,-4.13,0.3187,rank_300_500
feature,2,11,1.93,6.06,-4.13,0.3187,rank_300_500
matter,2,11,1.93,6.06,-4.13,0.3187,rank_300_500
quick,2,11,1.93,6.06,-4.13,0.3187,rank_300_500
where,15,19,14.49,10.47,4.02,1.3837,top_100
message,7,5,6.76,2.76,4.01,2.4537,top_100
okay,7,5,6.76,2.76,4.01,2.4537,top_100
certain,1,9,0.97,4.96,-4.0,0.1947,rank_300_500
full,1,9,0.97,4.96,-4.0,0.1947,rank_300_500
geometric,1,9,0.97,4.96,-4.0,0.1947,rank_300_500
guys,1,9,0.97,4.96,-4.0,0.1947,rank_300_500
quite,1,9,0.97,4.96,-4.0,0.1947,rank_300_500
track,1,9,0.97,4.96,-4.0,0.1947,rank_300_500
both,5,16,4.83,8.82,-3.99,0.5477,rank_300_500
disabled,5,16,4.83,8.82,-3.99,0.5477,rank_300_500
possible,16,21,15.46,11.58,3.88,1.3354,top_100
left,8,7,7.73,3.86,3.87,2.003,top_100
recently,8,7,7.73,3.86,3.87,2.003,top_100
ice,4,14,3.86,7.72,-3.85,0.5008,rank_300_500
keep,4,14,3.86,7.72,-3.85,0.5008,rank_300_500
sorry,4,14,3.86,7.72,-3.85,0.5008,rank_300_500
max,3,12,2.9,6.62,-3.72,0.4382,rank_300_500
yeah,3,12,2.9,6.62,-3.72,0.4382,rank_300_500
give,7,19,6.76,10.47,-3.71,0.6457,rank_300_500
that's,7,19,6.76,10.47,-3.71,0.6457,rank_300_500
id,11,26,10.63,14.33,-3.7,0.7415,rank_300_500
work,70,116,67.63,63.95,3.69,1.0576,top_100
last,10,11,9.66,6.06,3.6,1.5933,top_100
string,10,11,9.66,6.06,3.6,1.5933,top_100
figure,6,4,5.8,2.21,3.59,2.629,top_100
link,6,4,5.8,2.21,3.59,2.629,top_100
regular,6,4,5.8,2.21,3.59,2.629,top_100
become,2,10,1.93,5.51,-3.58,0.3505,rank_300_500
future,2,10,1.93,5.51,-3.58,0.3505,rank_300_500
idk,2,10,1.93,5.51,-3.58,0.3505,rank_300_500
implement,2,10,1.93,5.51,-3.58,0.3505,rank_300_500
klei,2,10,1.93,5.51,-3.58,0.3505,rank_300_500
para,2,10,1.93,5.51,-3.58,0.3505,rank_300_500
tab,2,10,1.93,5.51,-3.58,0.3505,rank_300_500
year,2,10,1.93,5.51,-3.58,0.3505,rank_300_500
hi,6,17,5.8,9.37,-3.57,0.6186,rank_300_500
crashing,11,13,10.63,7.17,3.46,1.483,top_100
chest,7,6,6.76,3.31,3.46,2.0448,top_100
due,7,6,6.76,3.31,3.46,2.0448,top_100
reset,7,6,6.76,3.31,3.46,2.0448,top_100
trying,7,6,6.76,3.31,3.46,2.0448,top_100
seem,5,15,4.83,8.27,-3.44,0.5842,rank_300_500
built,1,8,0.97,4.41,-3.44,0.2191,rank_300_500
clicking,1,8,0.97,4.41,-3.44,0.2191,rank_300_500
feel,1,8,0.97,4.41,-3.44,0.2191,rank_300_500
hotkey,1,8,0.97,4.41,-3.44,0.2191,rank_300_500
moda,1,8,0.97,4.41,-3.44,0.2191,rank_300_500
patch,1,8,0.97,4.41,-3.44,0.2191,rank_300_500
rest,1,8,0.97,4.41,-3.44,0.2191,rank_300_500
wolfgang,1,8,0.97,4.41,-3.44,0.2191,rank_300_500
lot,9,22,8.7,12.13,-3.43,0.717,rank_300_500
makes,9,22,8.7,12.13,-3.43,0.717,rank_300_500
playing,12,15,11.59,8.27,3.33,1.4021,top_100
i'd,8,20,7.73,11.03,-3.3,0.7011,rank_300_500
actually,4,13,3.86,7.17,-3.3,0.5393,rank_300_500
adding,4,13,3.86,7.17,-3.3,0.5393,rank_300_500
first,4,13,3.86,7.17,-3.3,0.5393,rank_300_500
less,4,13,3.86,7.17,-3.3,0.5393,rank_300_500
wish,4,13,3.86,7.17,-3.3,0.5393,rank_300_500
can't,16,34,15.46,18.74,-3.28,0.8248,rank_300_500
i'm,21,31,20.29,17.09,3.2,1.1873,top_100
ability,5,3,4.83,1.65,3.18,2.9211,top_100
breaks,5,3,4.83,1.65,3.18,2.9211,top_100
close,5,3,4.83,1.65,3.18,2.9211,top_100
main,5,3,4.83,1.65,3.18,2.9211,top_100
screen,5,3,4.83,1.65,3.18,2.9211,top_100
heart,3,11,2.9,6.06,-3.17,0.478,rank_300_500
monster,3,11,2.9,6.06,-3.17,0.478,rank_300_500
normal,3,11,2.9,6.06,-3.17,0.478,rank_300_500
up,23,46,22.22,25.36,-3.14,0.8763,rank_300_500
best,18,26,17.39,14.33,3.06,1.2134,top_100
lol,10,12,9.66,6.62,3.05,1.4605,top_100
helps,6,5,5.8,2.76,3.04,2.1032,top_100
increase,6,5,5.8,2.76,3.04,2.1032,top_100
index,6,5,5.8,2.76,3.04,2.1032,top_100
agree,2,9,1.93,4.96,-3.03,0.3895,rank_300_500
beefalo,2,9,1.93,4.96,-3.03,0.3895,rank_300_500
control,2,9,1.93,4.96,-3.03,0.3895,rank_300_500
drops,2,9,1.93,4.96,-3.03,0.3895,rank_300_500
faster,2,9,1.93,4.96,-3.03,0.3895,rank_300_500
perfect,2,9,1.93,4.96,-3.03,0.3895,rank_300_500
updates,2,9,1.93,4.96,-3.03,0.3895,rank_300_500
right,14,30,13.53,16.54,-3.01,0.8179,rank_300_500
using,19,28,18.36,15.44,2.92,1.1893,top_100
reason,11,14,10.63,7.72,2.91,1.3771,top_100
boss,7,7,6.76,3.86,2.9,1.7527,top_100
helpful,7,7,6.76,3.86,2.9,1.7527,top_100
until,7,7,6.76,3.86,2.9,1.7527,top_100
de,5,14,4.83,7.72,-2.89,0.6259,rank_300_500
thing,5,14,4.83,7.72,-2.89,0.6259,rank_300_500
fire,1,7,0.97,3.86,-2.89,0.2504,rank_300_500
host,1,7,0.97,3.86,-2.89,0.2504,rank_300_500
inside,1,7,0.97,3.86,-2.89,0.2504,rank_300_500
normally,1,7,0.97,3.86,-2.89,0.2504,rank_300_500
rate,1,7,0.97,3.86,-2.89,0.2504,rank_300_500
reign,1,7,0.97,3.86,-2.89,0.2504,rank_300_500
slow,1,7,0.97,3.86,-2.89,0.2504,rank_300_500
soul,1,7,0.97,3.86,-2.89,0.2504,rank_300_500
sound,1,7,0.97,3.86,-2.89,0.2504,rank_300_500
statues,1,7,0.97,3.86,-2.89,0.2504,rank_300_500
type,1,7,0.97,3.86,-2.89,0.2504,rank_300_500
webber,1,7,0.97,3.86,-2.89,0.2504,rank_300_500
filedetails,9,21,8.7,11.58,-2.88,0.7511,rank_300_500
sharedfiles,9,21,8.7,11.58,-2.88,0.7511,rank_300_500
steamcommunity,9,21,8.7,11.58,-2.88,0.7511,rank_300_500
didn't,8,9,7.73,4.96,2.77,1.5579,top_100
experience,8,9,7.73,4.96,2.77,1.5579,top_100
menu,8,9,7.73,4.96,2.77,1.5579,top_100
friends,4,12,3.86,6.62,-2.75,0.5842,rank_300_500
itself,4,12,3.86,6.62,-2.75,0.5842,rank_300_500
never,4,12,3.86,6.62,-2.75,0.5842,rank_300_500
nice,32,61,30.92,33.63,-2.71,0.9194,rank_300_500
bugs,5,4,4.83,2.21,2.63,2.1908,top_100
enough,5,4,4.83,2.21,2.63,2.1908,top_100
hand,5,4,4.83,2.21,2.63,2.1908,top_100
loading,5,4,4.83,2.21,2.63,2.1908,top_100
map,5,4,4.83,2.21,2.63,2.1908,top_100
click,7,17,6.76,9.37,-2.61,0.7217,rank_300_500
code,7,17,6.76,9.37,-2.61,0.7217,rank_300_500
away,3,10,2.9,5.51,-2.61,0.5258,rank_300_500
far,3,10,2.9,5.51,-2.61,0.5258,rank_300_500
mean,3,10,2.9,5.51,-2.61,0.5258,rank_300_500
over,15,31,14.49,17.09,-2.6,0.8481,rank_300_500
see,26,41,25.12,22.6,2.52,1.1114,top_100
anyone,10,13,9.66,7.17,2.5,1.3482,top_100
wrong,6,6,5.8,3.31,2.49,1.7527,top_100
fast,2,8,1.93,4.41,-2.48,0.4382,rank_300_500
light,2,8,1.93,4.41,-2.48,0.4382,rank_300_500
maxwell,2,8,1.93,4.41,-2.48,0.4382,rank_300_500
said,2,8,1.93,4.41,-2.48,0.4382,rank_300_500
small,2,8,1.93,4.41,-2.48,0.4382,rank_300_500
tell,2,8,1.93,4.41,-2.48,0.4382,rank_300_500
place,6,15,5.8,8.27,-2.47,0.7011,rank_300_500
years,7,8,6.76,4.41,2.35,1.5336,top_100
pastebin,5,13,4.83,7.17,-2.34,0.6741,rank_300_500
player,9,20,8.7,11.03,-2.33,0.7887,rank_300_500
instead,12,17,11.59,9.37,2.22,1.2372,top_100
example,8,10,7.73,5.51,2.22,1.4021,top_100
conflict,4,11,3.86,6.06,-2.2,0.6373,rank_300_500
man,4,11,3.86,6.06,-2.2,0.6373,rank_300_500
may,4,11,3.86,6.06,-2.2,0.6373,rank_300_500
because,20,39,19.32,21.5,-2.18,0.8988,rank_300_500
same,16,32,15.46,17.64,-2.18,0.8763,rank_300_500
day,13,19,12.56,10.47,2.09,1.1992,top_100
break,5,5,4.83,2.76,2.07,1.7527,top_100
considering,5,5,4.83,2.76,2.07,1.7527,top_100
gets,5,5,4.83,2.76,2.07,1.7527,top_100
line,5,5,4.83,2.76,2.07,1.7527,top_100
mod's,5,5,4.83,2.76,2.07,1.7527,top_100
unfortunately,5,5,4.83,2.76,2.07,1.7527,top_100
ever,7,16,6.76,8.82,-2.06,0.7668,rank_300_500
hello,7,16,6.76,8.82,-2.06,0.7668,rank_300_500
better,3,9,2.9,4.96,-2.06,0.5842,rank_300_500
crockpot,3,9,2.9,4.96,-2.06,0.5842,rank_300_500
cursor,3,9,2.9,4.96,-2.06,0.5842,rank_300_500
ground,3,9,2.9,4.96,-2.06,0.5842,rank_300_500
life,3,9,2.9,4.96,-2.06,0.5842,rank_300_500
press,3,9,2.9,4.96,-2.06,0.5842,rank_300_500
que,3,9,2.9,4.96,-2.06,0.5842,rank_300_500
updated,15,30,14.49,16.54,-2.05,0.8763,rank_300_500
yes,11,23,10.63,12.68,-2.05,0.8382,rank_300_500
author,10,14,9.66,7.72,1.94,1.2519,top_100
between,6,7,5.8,3.86,1.94,1.5023,top_100
read,6,7,5.8,3.86,1.94,1.5023,top_100
true,6,7,5.8,3.86,1.94,1.5023,top_100
amount,2,7,1.93,3.86,-1.93,0.5008,rank_300_500
basically,2,7,1.93,3.86,-1.93,0.5008,rank_300_500
creatures,2,7,1.93,3.86,-1.93,0.5008,rank_300_500
everyone,2,7,1.93,3.86,-1.93,0.5008,rank_300_500
gear,2,7,1.93,3.86,-1.93,0.5008,rank_300_500
going,2,7,1.93,3.86,-1.93,0.5008,rank_300_500
lose,2,7,1.93,3.86,-1.93,0.5008,rank_300_500
maximum,2,7,1.93,3.86,-1.93,0.5008,rank_300_500
probably,2,7,1.93,3.86,-1.93,0.5008,rank_300_500
question,2,7,1.93,3.86,-1.93,0.5008,rank_300_500
sadly,2,7,1.93,3.86,-1.93,0.5008,rank_300_500
special,2,7,1.93,3.86,-1.93,0.5008,rank_300_500
takes,2,7,1.93,3.86,-1.93,0.5008,rank_300_500
update,43,72,41.55,39.69,1.85,1.0467,top_100
soon,7,9,6.76,4.96,1.8,1.3632,top_100
top,7,9,6.76,4.96,1.8,1.3632,top_100
check,5,12,4.83,6.62,-1.78,0.7303,rank_300_500
