creator_id,mod_count,total_subscriptions,avg_subscriptions,median_subscriptions,avg_positive_rate,avg_maintenance_days,tag_breadth,author_rank,productivity_bucket,share_of_total_subscriptions_pct,cumulative_subscriptions,cumulative_share_pct,concentration_band
76561198344319495,4,318637,79659.25,4037.0,0.974075,335.25,7,133,4-9,0.1166,188899556,69.1334,others
76561198207993621,14,317702,22693.0,1747.0,0.895007,555.0,10,134,10+,0.1163,189217258,69.2497,others
76561198108008740,22,315195,14327.05,1775.5,0.956818,130.05,9,135,10+,0.1154,189532453,69.365,others
76561198337683822,3,314982,104994.0,1073.0,0.9708,402.0,8,136,2-3,0.1153,189847435,69.4803,others
76561198271951717,16,313616,19601.0,760.5,0.954906,235.31,13,137,10+,0.1148,190161051,69.5951,others
76561198019489256,38,311679,8202.08,249.0,0.732072,0.0,3,138,10+,0.1141,190472730,69.7092,others
76561198415481055,4,311029,77757.25,5224.5,0.986833,0.0,4,139,4-9,0.1138,190783759,69.823,others
76561198416094147,2,309261,154630.5,154630.5,0.98105,555.5,6,140,2-3,0.1132,191093020,69.9362,others
76561198097315001,1,308979,308979.0,308979.0,0.9783,2626.0,2,141,1,0.1131,191401999,70.0493,others
76561198271488571,1,308484,308484.0,308484.0,0.9777,0.0,5,142,1,0.1129,191710483,70.1622,others
76561198042263645,8,308029,38503.63,5305.0,0.964238,516.25,9,143,4-9,0.1127,192018512,70.2749,others
76561198322764051,1,306937,306937.0,306937.0,0.9806,562.0,4,144,1,0.1123,192325449,70.3872,others
76561198423350461,13,305756,23519.69,10632.0,0.9538,173.38,13,145,10+,0.1119,192631205,70.4991,others
76561198074953197,14,300349,21453.5,8577.0,0.940564,111.36,2,146,10+,0.1099,192931554,70.609,others
76561199061265882,4,300027,75006.75,88408.0,0.94495,529.25,1,147,4-9,0.1098,193231581,70.7188,others
76561198152462578,6,297800,49633.33,440.0,0.98602,268.67,6,148,4-9,0.109,193529381,70.8278,others
76561198175505863,50,296742,5934.84,1258.5,0.938712,312.8,14,149,10+,0.1086,193826123,70.9364,others
76561198061448584,4,293151,73287.75,2402.0,0.8838,535.25,4,150,4-9,0.1073,194119274,71.0437,others
76561198845311990,3,290630,96876.67,72026.0,0.95,500.33,1,151,2-3,0.1064,194409904,71.1501,others
76561198841594317,16,289259,18078.69,3710.5,0.941069,144.56,3,152,10+,0.1059,194699163,71.2559,others
76561198196583885,6,289178,48196.33,25423.0,0.89186,104.5,7,153,4-9,0.1058,194988341,71.3618,others
76561198968607215,2,288751,144375.5,144375.5,0.9806,1775.0,2,154,2-3,0.1057,195277092,71.4675,others
76561198281619140,25,286725,11469.0,1591.0,0.914156,173.56,13,155,10+,0.1049,195563817,71.5724,others
76561198238557176,5,276716,55343.2,35560.0,0.91186,0.0,3,156,4-9,0.1013,195840533,71.6737,others
76561198236541204,2,276586,138293.0,138293.0,0.97895,23.0,3,157,2-3,0.1012,196117119,71.7749,others
76561198370482502,7,269892,38556.0,10279.0,0.961914,412.71,10,158,4-9,0.0988,196387011,71.8737,others
76561198220617051,16,261802,16362.63,5443.0,0.93045,344.06,6,159,10+,0.0958,196648813,71.9695,others
76561198016999198,12,261753,21812.75,15204.0,0.963983,69.58,5,160,10+,0.0958,196910566,72.0653,others
76561198047913142,1,261616,261616.0,261616.0,0.9527,391.0,4,161,1,0.0957,197172182,72.161,others
76561198383262684,29,260043,8967.0,864.0,0.981896,231.17,11,162,10+,0.0952,197432225,72.2562,others
76561198847497104,20,255300,12765.0,1534.5,0.970195,463.85,2,163,10+,0.0934,197687525,72.3496,others
76561198080900628,2,251804,125902.0,125902.0,0.93065,653.0,6,164,2-3,0.0922,197939329,72.4418,others
76561198090706390,50,251730,5034.6,631.0,0.800735,157.64,7,165,10+,0.0921,198191059,72.5339,others
76561198815744299,40,250908,6272.7,1006.0,0.914785,59.8,9,166,10+,0.0918,198441967,72.6257,others
76561198275672111,3,244343,81447.67,63049.0,0.9566,741.33,2,167,2-3,0.0894,198686310,72.7152,others
76561198040829603,7,238491,34070.14,10222.0,0.970114,826.71,10,168,4-9,0.0873,198924801,72.8024,others
76561198152896462,96,237773,2476.8,490.5,0.928258,700.48,8,169,10+,0.087,199162574,72.8895,others
76561198391117610,27,232570,8613.7,3654.0,0.889752,136.63,2,170,10+,0.0851,199395144,72.9746,others
76561198233754348,37,231441,6255.16,1078.0,0.945714,299.22,9,171,10+,0.0847,199626585,73.0593,others
